Transaction_ID,HD_ID,Checkout_Queue_Entry_Time,Store_Entry_Time,Store_Exit_Time,Store_ID
38735491,NJKOLV,2014-12-02 17:45:21.681314,2014-12-02 16:56:32.394052,2014-12-02 18:49:05.402863,Store_24
64918053,FBLFBX,2014-03-25 16:13:34.109517,2014-03-25 15:53:03.941577,2014-03-25 17:14:32.266271,Store_14
74659898,FFNBBV,2015-10-07 12:55:21.555443,2015-10-07 11:55:58.096195,2015-10-07 13:51:32.165439,Store_24
68394858,RUBKGN,2014-06-10 15:24:54.503225,2014-06-10 14:57:18.101152,2014-06-10 16:11:02.404395,Store_2
63593728,OZMTKQ,2014-02-07 18:56:34.818046,2014-02-07 18:14:15.210018,2014-02-07 19:21:30.872224,Store_1
35226515,FTTAYG,2014-01-01 17:37:11.658364,2014-01-01 17:10:58.381654,2014-01-01 18:20:57.754305,Store_24
75443548,DTRJGG,2015-11-28 18:18:30.026297,2015-11-28 17:38:37.982460,2015-11-28 18:57:36.282604,Store_22
62316269,NMPBQL,2015-12-07 11:54:13.058787,2015-12-07 11:47:51.438681,2015-12-07 12:50:57.234351,Store_9
10478013,E2723680,2015-11-11 14:33:50.649567,2015-11-11 14:14:42.240349,2015-11-11 15:02:54.709415,Store_19
34630405,FVWGUG,2015-08-02 14:33:15.918749,2015-08-02 13:34:16.536730,2015-08-02 15:45:25.235132,Store_21
70124515,QKRGMX,2014-04-20 17:46:31.208813,2014-04-20 16:45:48.024165,2014-04-20 19:07:41.626990,Store_21
19348781,LZHYHD,2015-04-07 19:05:57.637354,2015-04-07 18:20:15.611524,2015-04-07 19:26:11.941991,Store_2
87649973,RNOOJQ,2014-12-23 18:30:09.933281,2014-12-23 17:52:24.391204,2014-12-23 19:24:23.681204,Store_5
86596576,WVNFZD,2014-03-14 18:51:15.143816,2014-03-14 18:12:56.623639,2014-03-14 19:18:09.119764,Store_7
48283814,ZOBTSX,2015-05-26 19:09:59.626790,2015-05-26 18:37:39.511142,2015-05-26 19:28:48.187519,Store_12
10853877,ZKYVUR,2015-01-29 17:23:33.037836,2015-01-29 16:07:50.770160,2015-01-29 19:08:38.700033,Store_12
49687247,EMXPYK,2015-12-25 16:59:14.319028,2015-12-25 16:10:39.793386,2015-12-25 17:23:07.229559,Store_13
33394946,GHMJFS,2015-12-07 18:35:48.959312,2015-12-07 18:06:37.920578,2015-12-07 19:47:14.256854,Store_1
82424482,TKDAUG,2014-08-03 18:17:41.702337,2014-08-03 17:12:51.046802,2014-08-03 18:46:26.576991,Store_23
28052408,SMCZOI,2015-01-30 18:30:52.980593,2015-01-30 17:36:11.955275,2015-01-30 18:57:54.682940,Store_1
